s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
MANYAN,2009,MAN YAN GARMENT TEXTILES COMPANY LIMITED,MAN YAN GARMENT TEXTILES COMPANY LIMITED,NA,"GAOPING INDUSTRIAL PARK, SANJIAO TOWN, ,",NA,NA,2001-09-07,"gaoping industrial park, sanjiao town, ,",man yan garment textiles company limited,man yan garment textiles company limited,NA,NA,NA,NA,NA,gaoping ,sanjiao ,NA,NA,man yan garment textiles  ,man yan    ,,,,,
MAOGAN,2009,MAO GANG GARMENT FACTORY,MAO GANG GARMENT FACTORY,NA,"KENG TOU, MAO GANG VILLAGE, HUANG PU DISTRICT, GUANGZHOU,GUANGDONG, CHINA,",NA,NA,5/25/04,"keng tou, mao gang village, huang pu district, guangzhou,guangdong, china,",mao gang garment factory,mao gang garment factory,guangdong,guangzhou,huang pu,NA,NA,NA,NA,mao gang ,NA,mao gang garment ,mao gang  ,,,,,
MAOHAR,2009,MAOYUAN HARDWARE CORPORATION,MAOYUAN HARDWARE CORPORATION,裕 勝 家 饰  厂,"1 QIDOUZHONG,CHANG AN TANG, INDUSTRIAL,DONGKENG TOWN, ,",NA,NA,4/21/09,"1 qidouzhong,chang an tang, industrial,dongkeng town, ,",maoyuan hardware corporation,maoyuan hardware corporation,NA,NA,NA,1,NA,NA,dongkeng ,NA,NA,maoyuan hardware ,maoyuan  ,,,,,
MAOSHE,2009,MAO SHENG YUAN GLASS CRAFT FACTORY,MAO SHENG YUAN GLASS CRAFT FACTORY,-,"NO.28, SOUTH STREET SANZIXIA ROAD, XIAZHOUG VILLAGE, DAKANG, HENGGANG TOWN",NA,NA,2005-10-07,"no.28, south street sanzixia road, xiazhoug village, dakang, henggang town",mao sheng yuan glass craft factory,mao sheng yuan glass craft factory,NA,NA,NA,28,south street sanzixia ,NA,henggang ,xiazhoug ,south street sanzixia ,mao sheng yuan glass craft ,mao sheng yuan   ,,,,,
MARGAL,2009,MARSO GALLERY LTD,MARSO GALLERY LTD,NA,"NO.119-1 XIAO TANG TEAM, BING TANG VILLAGE, HUICHENG QU, HUIZHOU CITY, GUANGDONG PROVINCE,",NA,NA,8/23/04,"no.119-1 xiao tang team, bing tang village, huicheng qu, huizhou city, guangdong province,",marso gallery ltd,marso gallery ltd,guangdong,huizhou,huicheng,"c(""119"", ""1"")",NA,NA,NA,bing tang ,NA,marso gallery ,marso gallery ,,,,,
MATIND,2009,"MATSUOKA INDUSTRY GROUP CO., LTD.","MATSUOKA INDUSTRY GROUP CO., LTD.",NA,"XINCANG INDUSTRIAL AREA, PINGHU，ZHEJIANG， CHINA, ,",NA,NA,12/30/08,"xincang industrial area, pinghu，zhejiang， china, ,","matsuoka industry group co., ltd.","matsuoka industry group co., ltd.",zhejiang,NA,pinghu,NA,NA,xincang ,NA,NA,NA,matsuoka  group  ,matsuoka    ,,,,,
MATMET,2009,"MATRIX METAL CRAFT CO., LTD.","MATRIX METAL CRAFT CO., LTD.",-,"IND AREA OF XIA-BIAN., HOU-JIE, DONGGUAN CITY, ,",NA,NA,11/20/06,"ind area of xia-bian., hou-jie, dongguan city, ,","matrix metal craft co., ltd.","matrix metal craft co., ltd.",NA,dongguan,dongguan,NA,NA,NA,NA,NA,NA,matrix metal craft  ,matrix    ,,,,,
MAXDON,2009,MAXXO (DONGGUAN) LEATHER GOODS FACTORY,MAXXO (DONGGUAN) LEATHER GOODS FACTORY,-,"2nd Floor, No. 3, Minsheng Road, Shilong Town, ,",NA,NA,2012-10-08,"2nd floor, no. 3, minsheng road, shilong town, ,",maxxo (dongguan) leather goods factory,maxxo (dongguan) leather goods factory,NA,dongguan,dongguan,"c(""2"", ""3"")",minsheng ,NA,shilong ,NA,minsheng ,maxxo  leather goods ,maxxo    ,,,,,
MAXPOW,2009,MAXI POWER ENTERPRISE LIMITED,MAXI POWER ENTERPRISE LIMITED,-,"Ta-Tien-Yang Industrial Zone,Tung Fang village, Song Gang Town, Bao An District, Shenzhen city, Guangdong Province,",NA,NA,2006-02-05,"ta-tien-yang industrial zone,tung fang village, song gang town, bao an district, shenzhen city, guangdong province,",maxi power enterprise limited,maxi power enterprise limited,guangdong,shenzhen,bao an,NA,NA,yang ,song gang ,tung fang ,NA,maxi power  ,maxi   ,,,,,
MAXPRI,2009,MAX FORTUNE PRINTING FACTORY,MAX FORTUNE PRINTING FACTORY,-,"XIA SHI XIA, CHANGNING TOWN, GUANGZHOU SHANTOU NATION, ROAD SOUTH, BOLUO,",NA,NA,4/25/07,"xia shi xia, changning town, guangzhou shantou nation, road south, boluo,",max fortune printing factory,max fortune printing factory,NA,NA,boluo,NA,NA,NA,changning ,NA,NA,max fortune printing ,max fortune  ,,,,,
MAXVEN,2009,MAXVENTURE GARMENT FACTORY LIMITED,MAXVENTURE GARMENT FACTORY LIMITED,NA,"#5 INDUSTRIAL ROAD,QI CUN, TANZHOU TOWN,ZHONGSHAN CITY, GUANGDONG PROVINCE,",NA,NA,12/18/08,"#5 industrial road,qi cun, tanzhou town,zhongshan city, guangdong province,",maxventure garment factory limited,maxventure garment factory limited,guangdong,zhongshan,zhongshan,5,industrial ,NA,tanzhou ,NA,industrial ,maxventure garment  ,maxventure   ,,,,,
MAYFUN,2009,MAY FUNG PLASTIC FACTORY LTD,MAY FUNG PLASTIC FACTORY LTD,-,"VIGATOR VILLAGE, SONGGANG CITY, ,",NA,NA,2010-07-03,"vigator village, songgang city, ,",may fung plastic factory ltd,may fung plastic factory ltd,NA,NA,NA,NA,NA,NA,NA,vigator ,NA,may fung plastic  ,may fung   ,,,,,
MAYSIH,2009,"MAYDIANG(SIHONG)LEATHER CO.,LTD",NA,NA,NA,NA,NA,NA,NA,"maydiang(sihong)leather co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maydiangleather ,maydiangleather ,,,,,
MDLINF,2009,"FOSHAN MIDAS-LIN FURNITURE CO., LTD","FOSHAN MIDAS-LIN FURNITURE CO., LTD",-,"No 548 Gaoming Road Central, Yang-He Town, Gaoming District, Foshan City, Guangdong Province,",NA,NA,7/12/00,"no 548 gaoming road central, yang-he town, gaoming district, foshan city, guangdong province,","foshan midas-lin furniture co., ltd","foshan midas-lin furniture co., ltd",guangdong,foshan,gaoming,548,gaoming ,NA,he ,NA,gaoming ,foshan midaslin furniture  , midaslin   ,,,,,
MEEGAR,2009,MEE NGAI GARMENT (DONG GUAN) COMPANY LIMITED,MEE NGAI GARMENT (DONG GUAN) COMPANY LIMITED,NA,"LINSHAN INDUSTRIAL AREA, HETIAN VILLAGE, SOUTH OF HUJING ROAD, HOUJIE TOWN, ,",NA,NA,2010-05-04,"linshan industrial area, hetian village, south of hujing road, houjie town, ,",mee ngai garment (dong guan) company limited,mee ngai garment (dong guan) company limited,NA,dong guan,NA,NA,south of hujing ,linshan ,houjie ,hetian ,hujing ,mee ngai garment   ,mee ngai    ,,,,,
MEGACC,2009,MI JIA LEATHER,GUANGZHOU CEDOR LTD,-,"#8 Lianhua Industrial Area, Mingjing village, Hualong Town, Panyu district, Guangzhou City, China.,",NA,NA,4/27/06,"#8 lianhua industrial area, mingjing village, hualong town, panyu district, guangzhou city, china.,",mi jia leather,guangzhou cedor ltd,NA,guangzhou,panyu,8,NA,lianhua ,hualong ,mingjing ,NA,mi jia leather,mi jia ,,,,,
MEICHI,2009,"MEI KO LONG METALLIC PRODUCTS(CHINA) CO., LTD.","MEI KO LONG METALLIC PRODUCTS(CHINA) CO., LTD.",NA,"NO.1, MEIGULONG ROAD, TAICANG ECONOMIC &, DEVELOPMENT ZONE, ,",NA,NA,11/14/05,"no.1, meigulong road, taicang economic &, development zone, ,","mei ko long metallic products(china) co., ltd.","mei ko long metallic products(china) co., ltd.",NA,NA,NA,1,meigulong ,NA,NA,NA,meigulong ,mei ko long metallic   ,mei ko long metallic   ,,,,,
MEICRA,2009,MEIYI ARTS & CRAFTS CO LTD,MEIYI ARTS & CRAFTS CO LTD,NA,"Zhengshan Town, Linshu County, Linyi City, Shandong, China,",NA,NA,5/26/06,"zhengshan town, linshu county, linyi city, shandong, china,",meiyi arts & crafts co ltd,meiyi arts & crafts co ltd,shandong,linyi,linshu,NA,NA,NA,zhengshan ,NA,NA,meiyi arts  crafts  ,meiyi     ,,,,,
MEIGAR,2009,SHENZHEN MEITONG GARMENT COMPANY LIMITED,SHENZHEN MEITONG GARMENT COMPANY LIMITED,NA,"JI TONG INDUSTRIAL ZONE, BANTIAN VILLAGE, BUJI TOWN, LONGGANG DISTRICT,","Women's blazer, suit.",421,2008-10-04,"ji tong industrial zone, bantian village, buji town, longgang district,",shenzhen meitong garment company limited,shenzhen meitong garment company limited,NA,shenzhen,longgang,NA,NA,ji tong ,buji ,bantian ,NA,shenzhen meitong garment  , meitong   ,,,,,
MEIKAI,2009,MEI KAI INDUSTRIALS LTD.,NA,NA,NA,NA,NA,NA,NA,mei kai industrials ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mei kai industrials ,mei kai industrials ,,,,,
MEIPRO,2009,MEI & RAINBOW PRODUCT,MEI & RAINBOW PRODUCT,-,"FENG HUANG INDUSTRIAL PARK, FENG HUANG, FU YONG, BAO AN DISTRICT,\,",NA,NA,4/14/04,"feng huang industrial park, feng huang, fu yong, bao an district,\,",mei & rainbow product,mei & rainbow product,NA,NA,NA,NA,NA,feng huang ,NA,NA,NA,mei  rainbow ,mei  rainbow ,,,,,
MEISIP,2009,"MEI LI LONG HOUSEWARES(SIP) CO., LTD","MEI LI LONG HOUSEWARES(SIP) CO., LTD",美利龙餐具有限公司,"NO. 69, QIMING ROAD, DISTRICT B, EXPORT PROCESSING ZONE,SUZHOU INDUSTRIAL PARK, ,",NA,NA,4/17/08,"no. 69, qiming road, district b, export processing zone,suzhou industrial park, ,","mei li long housewares(sip) co., ltd","mei li long housewares(sip) co., ltd",NA,NA,NA,69,qiming ,suzhou ,NA,NA,qiming ,mei li long housewares  ,mei li long   ,,,,,
MERASC,2009,MERIT ASCENT LTD,NA,NA,NA,NA,NA,NA,NA,merit ascent ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,merit ascent ,merit ascent ,,,,,
MERTOP,2009,"MERRY-TOP CRAFTS (HUI-YANG) CO.,LTD.","MERRY-TOP CRAFTS (HUI-YANG) CO.,LTD.",-,"Dong Feng Village, Xin Xu Town, Huiyang District, Guangdong Province,",NA,NA,2009-07-04,"dong feng village, xin xu town, huiyang district, guangdong province,","merry-top crafts (hui-yang) co.,ltd.","merry-top crafts (hui-yang) co.,ltd.",guangdong,NA,huiyang,NA,NA,NA,xin xu ,dong feng ,NA,merrytop crafts  ,merrytop   ,,,,,
MESUGA,2009,MEIXIAN SUNWISE GARMENTS FACTORY,NA,NA,NA,NA,NA,NA,NA,meixian sunwise garments factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,meixian sunwise garments ,meixian sunwise  ,,,,,
METAND,2009,D & S METAL AND PLASTIC FACTORY,NA,NA,NA,NA,NA,NA,NA,d & s metal and plastic factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d  s metal and plastic ,d  s    ,,,,,
MIDAIR,2009,"GD MIDEA AIR-CONDITIONING EQUIPMENT CO., LTD",NA,NA,NA,NA,NA,NA,NA,"gd midea air-conditioning equipment co., ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gd midea airconditioning equipment  ,gd midea airconditioning   ,,,,,
MIDENV,2009,"GD MIDEA ENVIRONMENT APPLIANCES MFG. CO., LTD","GD MIDEA ENVIRONMENT APPLIANCES MFG. CO., LTD",-,"28TH, EAST DISTRICT, HESUI INDUSTRIAL PARK, DONGFU ROAD, DONGFENG, ZHONGSHAN, GUANGDONG, CHINA,",NA,NA,11/17/06,"28th, east district, hesui industrial park, dongfu road, dongfeng, zhongshan, guangdong, china,","gd midea environment appliances mfg. co., ltd","gd midea environment appliances mfg. co., ltd",guangdong,zhongshan,zhongshan,28,dongfu ,hesui ,NA,NA,dongfu ,gd midea environment appliances   ,gd midea environment appliances   ,,,,,
MIDMET,2009,MIDAS METAL & PLASTIC PRODUCTS MANUFACTORY LTD,MIDAS METAL & PLASTIC PRODUCTS MANUFACTORY LTD,-,"PING JIAO INDUSTRIAL ZONE, YANGJIANG CITY, GUANGDONG, CHINA",NA,NA,1/29/07,"ping jiao industrial zone, yangjiang city, guangdong, china",midas metal & plastic products manufactory ltd,midas metal & plastic products manufactory ltd,guangdong,yangjiang,NA,NA,NA,ping jiao ,NA,NA,NA,midas metal  plastic  manufactory ,midas      ,,,,,
MIHAFT,2009,MINGFUNG HANDBAG FACTORY,NA,NA,NA,NA,NA,NA,NA,mingfung handbag factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mingfung handbag ,mingfung  ,,,,,
MIHOFU,2009,"MIN HOU FUMIN ARTS & CRAFTS CO.,LTD",NA,NA,NA,NA,NA,NA,NA,"min hou fumin arts & crafts co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,min hou fumin arts  crafts ,min hou fumin    ,,,,,
MIHOHO,2009,"MIN HOU HONG-CRAFTS CO., LTD","MIN HOU HONG-CRAFTS CO., LTD",-,"JINXI INDUSTRIAL ZONE, MINHOU, ,",NA,NA,7/25/09,"jinxi industrial zone, minhou, ,","min hou hong-crafts co., ltd","min hou hong-crafts co., ltd",NA,NA,NA,NA,NA,jinxi ,NA,NA,NA,min hou hongcrafts  ,min hou hongcrafts  ,,,,,
MINBIG,2009,"MINQING BIG FORTUNE ARTS AND CRAFTS CO., LTD.","MINQING BIG FORTUNE ARTS AND CRAFTS CO., LTD.",-,"JianXing Village, Mei Xi Town, Minqing County, ,",NA,NA,2010-08-07,"jianxing village, mei xi town, minqing county, ,","minqing big fortune arts and crafts co., ltd.","minqing big fortune arts and crafts co., ltd.",NA,NA,mei,NA,NA,NA,mei xi ,jianxing ,NA,minqing big fortune arts and crafts  ,minqing big fortune     ,,,,,
MINCH1,2009,MINGLUN TECHNICS FACTORY (CHINA - H1),"SHANTOU CHENGHAI MINGLUN ARTS & CRAFTS CO., LTD.",-,"SHANG DAI INDUTRIAL AREA, CHENGHUA STREET, CHENGHAI DISTRICT, SHANTOU CITY, GUANGDONG PROVINCE,",NA,NA,2010-03-02,"shang dai indutrial area, chenghua street, chenghai district, shantou city, guangdong province,",minglun technics factory (china - h1),"shantou chenghai minglun arts & crafts co., ltd.",guangdong,shantou,chenghai,NA,chenghua ,NA,NA,NA,chenghua ,minglun technics  ,minglun   ,,,,,
MINDIE,2009,MING DA HARDWARE (PLASTIC DIE) FACTORY,MING DA HARDWARE (PLASTIC DIE) FACTORY,-,"NO 83 JIANGBIAN ROAD, JIANGLING INDUSTRIAL ZONE, PINGSHAN TOWN, LONGGANG,",NA,NA,2004-03-09,"no 83 jiangbian road, jiangling industrial zone, pingshan town, longgang,",ming da hardware (plastic die) factory,ming da hardware (plastic die) factory,NA,NA,pingshan,83,jiangbian ,jiangling ,pingshan ,NA,jiangbian ,ming da hardware  ,ming da   ,,,,,
MINGFO,2009,MING DE METAL PRODUCTS LTD.,MING DE METAL PRODUCTS LTD.,-,"YONGFA INDUSTRIAL ZONE, DONGSHAN VILLAGE, QISHI TOWN,",NA,NA,2001-08-01,"yongfa industrial zone, dongshan village, qishi town,",ming de metal products ltd.,ming de metal products ltd.,NA,NA,NA,NA,NA,yongfa ,qishi ,dongshan ,NA,ming de metal  ,ming de   ,,,,,
MINMAN,2009,MINFU (DG) GARMENT MFG CO LTD,MINFU (DG) GARMENT MFG CO LTD,NA,"YONGTAI RAOD, JUTANG DISTRICT, HOUJIE TOWN, , ,",NA,NA,2010-05-04,"yongtai raod, jutang district, houjie town, , ,",minfu (dg) garment mfg co ltd,minfu (dg) garment mfg co ltd,NA,NA,NA,NA,NA,NA,houjie ,NA,NA,minfu  garment   ,minfu     ,,,,,
MINNON,2009,"MINGQIAO NONWOVEN PRODUCTS CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"mingqiao nonwoven products co., ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mingqiao nonwoven   ,mingqiao    ,,,,,
MINPRO,2009,MING XING HARDWARE PRODUCTS FACTORY,MING XING HARDWARE PRODUCTS FACTORY,-,"XINGHUANG DEVELOPMING ZONE, SIQIAN TOWN, XINHUI AREA, JIANGMENG CITY, GUANGDONG PROVINCE,",NA,NA,9/18/08,"xinghuang developming zone, siqian town, xinhui area, jiangmeng city, guangdong province,",ming xing hardware products factory,ming xing hardware products factory,guangdong,jiangmen,xinhui,NA,NA,NA,siqian ,NA,NA,ming xing hardware  ,ming xing   ,,,,,
MINSTA,2009,"MING STAR LIGHTING CO., LTD","MING STAR LIGHTING CO., LTD",-,"NO.141, XINYUAN NO.1 ROAD, SHONGBOLANG INDUSTRIAL ZONE, DALANG TOWN,",NA,NA,7/31/07,"no.141, xinyuan no.1 road, shongbolang industrial zone, dalang town,","ming star lighting co., ltd","ming star lighting co., ltd",NA,NA,NA,"c(""141"", ""1"")",NA,shongbolang ,dalang ,NA,NA,ming star lighting  ,ming star   ,,,,,
MINWAN,2009,"MINHOU WANGDA ARTS & CRAFTS CO., LTD","MINHOU WANGDA ARTS & CRAFTS CO., LTD",-,"NO. 111 STREET TANSHI INDUSTRIAL, ZONE, GANZHE COUNTY, MINHOU, ,",NA,NA,3/13/09,"no. 111 street tanshi industrial, zone, ganzhe county, minhou, ,","minhou wangda arts & crafts co., ltd","minhou wangda arts & crafts co., ltd",NA,NA,NA,111,NA,street tanshi ,NA,NA,NA,minhou wangda arts  crafts  ,minhou wangda     ,,,,,
MIRCS2,2009,TONGXIANG MIRACLE KNITTING FTY CO LTD (CHINA - 1),TONGXIANG MIRACLE KNITTING FTY CO LTD (CHINA - 1),NA,"BLOCK 13, NO.2 INDUSTRIAL AREA, TONGXIANG ECONOMIC DEVELOPMENT ZONE, TONGXIANG CITY,",NA,NA,2005-10-04,"block 13, no.2 industrial area, tongxiang economic development zone, tongxiang city,",tongxiang miracle knitting fty co ltd (china - 1),tongxiang miracle knitting fty co ltd (china - 1),NA,NA,NA,"c(""13"", ""2"")",NA,NA,NA,NA,NA,tongxiang miracle knitting    ,tongxiang miracle     ,,,,,
MIUSUM,2009,MIU SUM HANDBAG,MIU SUM HANDBAG,-,"CHUBULING, LILIN TOWN, HUICHENG DISTRICT, HUIZHOU CITY, GUANGDONG PROVINCE, ,",NA,NA,2006-04-08,"chubuling, lilin town, huicheng district, huizhou city, guangdong province, ,",miu sum handbag,miu sum handbag,guangdong,huizhou,huicheng,NA,NA,NA,lilin ,NA,NA,miu sum handbag,miu sum ,,,,,
MIZHTE,2009,MINHOU ZHENXING TECH FTY,MINHOU ZHENXING TECH FTY,-,"ZHEZHOU VILLAGE SHANGJIE TOWN, MINHOU COUNTY, ,",NA,NA,2004-09-08,"zhezhou village shangjie town, minhou county, ,",minhou zhenxing tech fty,minhou zhenxing tech fty,NA,NA,NA,NA,NA,NA,zhezhou village shangjie ,zhezhou ,NA,minhou zhenxing tech ,minhou zhenxing  ,,,,,
MNHFUJ,2009,MINHOU FUJIAN MINXING WEAVING CO. LTD. (CHINA - H1),MINHOU FUJIAN MINXING WEAVING CO. LTD. (CHINA - H1),-,"NO. 56, XIANSHANBIAN, BAISHA TOWN, MINHOU CITY, FUJIANG PROVINCE, CHINA",NA,NA,1/11/00,"no. 56, xianshanbian, baisha town, minhou city, fujiang province, china",minhou fujian minxing weaving co. ltd. (china - h1),minhou fujian minxing weaving co. ltd. (china - h1),fujian,NA,minhou,56,NA,NA,baisha ,NA,NA,minhou fujian minxing weaving   ,minhou  minxing    ,,,,,
MODGLO,2009,MODERN GLOBAL INC.,MODERN GLOBAL INC.,-,"AGRICULTURE TECHNIQUE DEVELOPMENT ZONE, SHUI LIAN INDUSTRIAL ZONE,NAN CHENG DISTRICT, ,",NA,NA,11/22/05,"agriculture technique development zone, shui lian industrial zone,nan cheng district, ,",modern global inc.,modern global inc.,NA,NA,NA,NA,NA,shui lian ,NA,NA,NA,modern global ,modern global ,,,,,
MODSTY,2009,"MODERN STYLE EURO-AM JEWELRY CO., LTD","MODERN STYLE EURO-AM JEWELRY CO., LTD",-,"TONGSHA HI-TECH INDUSTRIAL ZONE, DONGCHENG DISTRICT, DONGGUAN CITY, GUANGDONG PROVINCE,",NA,NA,7/29/03,"tongsha hi-tech industrial zone, dongcheng district, dongguan city, guangdong province,","modern style euro-am jewelry co., ltd","modern style euro-am jewelry co., ltd",guangdong,dongguan,dongguan,NA,NA,tech ,NA,NA,NA,modern style euroam jewelry  ,modern style euroam   ,,,,,
MODSWA,2009,MODERN SWAN PLASTIC MFG.,MODERN SWAN PLASTIC MFG.,-,"XIN LIU ROAD, XINFENG, INDUSTRIAL ZONE, HUANGPU TOWN, ,",NA,NA,3/29/04,"xin liu road, xinfeng, industrial zone, huangpu town, ,",modern swan plastic mfg.,modern swan plastic mfg.,NA,NA,xinfeng,NA,xin liu ,NA,huangpu ,NA,xin liu ,modern swan plastic ,modern swan  ,,,,,
MORLIG,2009,MORNING LIGHT PRINTING LIMITED,MORNING LIGHT PRINTING LIMITED,-,"THIRD ROAD INDUSTRIAL DISTRICT, PU XIN, SHIPAI TOWN, ,",NA,NA,11/29/07,"third road industrial district, pu xin, shipai town, ,",morning light printing limited,morning light printing limited,NA,NA,NA,NA,third ,third road ,shipai ,NA,third ,morning light printing ,morning   ,,,,,
MORWEL,2009,"MORAL WELL (ZHONGSHAN) GARMENT CO., LTD.",NA,NA,NA,garments,336,NA,NA,"moral well (zhongshan) garment co., ltd.",NA,NA,zhongshan,zhongshan,NA,NA,NA,NA,NA,NA,moral well  garment  ,moral well    ,,,,,
MULLIN,2009,MULTI-LINK APPAREL JIANGYIN CORP,MULTI-LINK APPAREL JIANGYIN CORP,NA,"NO. 8, HUAGUANG WEST ROAD, SHIZHUANG TOWN, , ,",NA,NA,7/21/05,"no. 8, huaguang west road, shizhuang town, , ,",multi-link apparel jiangyin corp,multi-link apparel jiangyin corp,NA,NA,NA,8,huaguang west ,NA,shizhuang ,NA,huaguang west ,multilink apparel jiangyin ,multilink  jiangyin ,,,,,
MUNGAR,2009,MUN LI GARMENT FACTORY LTD.,MUN LI GARMENT FACTORY LTD.,NA,"San Xiang, Ping Tong, Guang Li Xu, , ,",NA,NA,5/23/03,"san xiang, ping tong, guang li xu, , ,",mun li garment factory ltd.,mun li garment factory ltd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,mun li garment  ,mun li   ,,,,,
MUSTCO,2009,"MULTI STATIONERY CO., LTD.","MULTI STATIONERY CO., LTD.",-,"SHANGJIE VILLAGE, QISHI TOWN, , ,",NA,NA,9/15/09,"shangjie village, qishi town, , ,","multi stationery co., ltd.","multi stationery co., ltd.",NA,NA,NA,NA,NA,NA,qishi ,shangjie ,NA,multi stationery  ,multi   ,,,,,
MUTHOM,2009,MUTUAL HOME PRODUCTS CORP.,MUTUAL HOME PRODUCTS CORP.,-,"QIAOXIN INDUSTRIAL ZONE, QIAOTOU TOWN, DONGGUAN CITY, GUANGDONG PROVINCE,",NA,NA,2001-04-06,"qiaoxin industrial zone, qiaotou town, dongguan city, guangdong province,",mutual home products corp.,mutual home products corp.,guangdong,dongguan,dongguan,NA,NA,qiaoxin ,qiaotou ,NA,NA,mutual home  ,mutual   ,,,,,
NAFCS1,2009,NEW AIRLINE FASHION (HANGZHOU) CO LTD (CHINA - S1),NEW AIRLINE FASHION (HANGZHOU) CO LTD (CHINA - S1),NA,"HUO CHE BANG, NANYUAN TOWN, HANGZHOU CITY, ZHEJIANG PROVINCE, CHINA, ,",NA,NA,2006-05-02,"huo che bang, nanyuan town, hangzhou city, zhejiang province, china, ,",new airline fashion (hangzhou) co ltd (china - s1),new airline fashion (hangzhou) co ltd (china - s1),zhejiang,hangzhou,NA,NA,NA,NA,nanyuan ,NA,NA,new airline fashion ,new airline  ,,,,,
NAFUFT,2009,NAM FUNG KNITTING FACTORY,NAM FUNG KNITTING FACTORY,NA,"TAI LIN TONG IND. AREA,WANJIANG, , ,",NA,NA,2002-11-09,"tai lin tong ind. area,wanjiang, , ,",nam fung knitting factory,nam fung knitting factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,nam fung knitting ,nam fung  ,,,,,
NAGRGA,2009,"NANJING GREATWALL GARMENT CO., LTD",NANJING GREATWALL GARMENTS CO LTD,NA,"LUHE ECONOMIC DEVELOPMENT DISTRIC, , ,",NA,NA,3/20/08,"luhe economic development distric, , ,","nanjing greatwall garment co., ltd",nanjing greatwall garments co ltd,NA,nanjing,NA,NA,NA,NA,NA,NA,NA,nanjing greatwall garment  , greatwall   ,,,,,
NAGUME,2009,"NANHAI GUANGYI METAL MANUFACTURING CO., LTD.","NANHAI GUANGYI METAL MANUFACTURING CO., LTD.",-,"Ma She Gui He Road, Li Shui Town, Nan Hai District, Foshan City, Guangdong Province, ,",NA,NA,9/29/06,"ma she gui he road, li shui town, nan hai district, foshan city, guangdong province, ,","nanhai guangyi metal manufacturing co., ltd.","nanhai guangyi metal manufacturing co., ltd.",guangdong,foshan,nanhai,NA,ma she gui he ,NA,li shui ,NA,ma she gui he ,nanhai guangyi metal   , guangyi    ,,,,,
NAHAJI,2009,NAN HAI JINDEYUAN METAL MANUFACTURE FACTORY,NAN HAI JINDEYUAN METAL MANUFACTURE FACTORY,-,"PING SHENG INDUSTRIAL ZONE. PING ZHOU, NAN HAI DISTRICT, ,",NA,NA,6/26/09,"ping sheng industrial zone. ping zhou, nan hai district, ,",nan hai jindeyuan metal manufacture factory,nan hai jindeyuan metal manufacture factory,NA,NA,NA,NA,NA,ping sheng ,NA,NA,NA,nan hai jindeyuan metal manufacture ,nan hai jindeyuan   ,,,,,
NAHATI,2009,NANJING HAO TIAN GARMENT CO LTD,NA,NA,NA,NA,NA,NA,NA,nanjing hao tian garment co ltd,NA,NA,nanjing,NA,NA,NA,NA,NA,NA,NA,nanjing hao tian garment  , hao tian   ,,,,,
NAHEGA,2009,"NANCHANG HENGLITAI GARMENTS CO.,LTD.","NANCHANG HENGLITAI GARMENTS CO.,LTD.",南昌恒立泰制衣有限公司,"NO. 229,FUSHAN ROAD, XIAOLAN INDUSTRAIL PARK, NANCHANG,",NA,NA,7/15/08,"no. 229,fushan road, xiaolan industrail park, nanchang,","nanchang henglitai garments co.,ltd.","nanchang henglitai garments co.,ltd.",NA,nanchang,nanchang,229,fushan ,NA,NA,NA,fushan ,nanchang henglitai garments , henglitai  ,,,,,
NAHOME,2009,"NANHAI HONGDA METAL PRODUCT CO., LTD.","NANHAI HONGDA METAL PRODUCT CO., LTD.",-,"INDUSTRIAL ROAD, SONGXIA INDUSTRIAL PARK, SONGGANG, NANHAI, ,",NA,NA,2/21/06,"industrial road, songxia industrial park, songgang, nanhai, ,","nanhai hongda metal product co., ltd.","nanhai hongda metal product co., ltd.",NA,NA,nanhai,NA,industrial ,songxia ,NA,NA,industrial ,nanhai hongda metal   , hongda    ,,,,,
NAHUHO,2009,NANJING HUI HONG GROUP CORP.,NANJING HUI HONG GROUP CORP.,NA,"9 WEN FENG ROAD, LIN YAN, TOWN OF LUHE,",NA,NA,2003-01-01,"9 wen feng road, lin yan, town of luhe,",nanjing hui hong group corp.,nanjing hui hong group corp.,NA,nanjing,NA,9,wen feng ,NA,NA,NA,wen feng ,nanjing hui hong group , hui hong  ,,,,,
