s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
BAIPLA,2009,BAIYANG PLASTIC IND. CO.,BAIYANG PLASTIC IND. CO.,-,"TIANXIN VILLAGE, SHIYIAN TOWN, BAO, AN DISTRICT, ,",NA,NA,2003-10-04,"tianxin village, shiyian town, bao, an district, ,",baiyang plastic ind. co.,baiyang plastic ind. co.,NA,NA,NA,NA,NA,NA,shiyian ,tianxin ,NA,baiyang plastic  ,baiyang   ,,,,,
BAIPRI,2009,"SHAOXING BAI LI HENG PRINTING & DYEING CO., LTD","SHAOXING BAI LI HENG PRINTING & DYEING CO., LTD",NA,"BINHAE INDUSTRIAL, ShaoXing, ZheJiang, -,",NA,NA,5/25/06,"binhae industrial, shaoxing, zhejiang, -,","shaoxing bai li heng printing & dyeing co., ltd","shaoxing bai li heng printing & dyeing co., ltd",zhejiang,shaoxing,NA,NA,NA,binhae ,NA,NA,NA,shaoxing bai li heng printing  dyeing  , bai li heng     ,,,,,
BAIPRO,2009,BAIJUNDA PLASTIC PRODUCTION FACTORY,NA,NA,NA,NA,NA,NA,NA,baijunda plastic production factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,baijunda plastic  ,baijunda   ,,,,,
BAITOY,2009,BAIXING TOYS FACTORY LIMITED,BAIXING TOYS FACTORY LIMITED,-,"NO.2 JINAXIN SAN ROAD, GUANYAO, NAIHAI DISTRICT, FOSHAN CITY, GUANGDONG PROVINCE,",NA,NA,2010-11-06,"no.2 jinaxin san road, guanyao, naihai district, foshan city, guangdong province,",baixing toys factory limited,baixing toys factory limited,guangdong,foshan,NA,2,jinaxin san ,NA,NA,NA,jinaxin san ,baixing toys  ,baixing   ,,,,,
BAMPLA,2009,"BAMBOO PLASTIC FACTORY,LTD.","BAMBOO PLASTIC FACTORY,LTD.",宝宝塑胶厂有限公司,"NO. 37, TANLUO ROAD, TANLUO VILLAGE, TONGSHENG, DALANG STREET, BAO’AN DISTRICT, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,2005-03-06,"no. 37, tanluo road, tanluo village, tongsheng, dalang street, bao’an district, shenzhen city, guangdong province,","bamboo plastic factory,ltd.","bamboo plastic factory,ltd.",guangdong,shenzhen,NA,37,"c(""tanluo "", ""dalang "")",NA,NA,tanluo ,"c(""tanluo "", ""dalang "")",bamboo plastic ,  ,,,,,
BANKNI,2009,BANSHI KNITTING FACTORY OF CHANGPING,BANSHI KNITTING FACTORY OF CHANGPING,NA,"BANSHI INDUSTRICAL ZONE, BANSHI DISTRICT, CHANGPING TOWN, ,",NA,NA,2005-10-04,"banshi industrical zone, banshi district, changping town, ,",banshi knitting factory of changping,banshi knitting factory of changping,NA,NA,NA,NA,NA,NA,changping ,NA,NA,banshi knitting  of changping,banshi    changping,,,,,
BANZAC,2009,BANZA INTERNATIONAL COMPANY  LIMITED,BANZA INTERNATIONAL COMPANY  LIMITED,-,"LI BO SHUI INDUSTRIAL PARK, YOUNG SHU ROAD, SHIWAN TOWN, BOLUO COUNTY, ,",NA,NA,6/23/04,"li bo shui industrial park, young shu road, shiwan town, boluo county, ,",banza international company  limited,banza international company  limited,NA,NA,boluo,NA,young shu ,li bo shui ,shiwan ,NA,young shu ,banza    ,banza    ,,,,,
BAOAPP,2009,BAO LONG APPAREL CO. LIMITED,"XUYI BAOLONG APPAREL CO., LIMITED",NA,"NO 7-6 OF INDUSTRY ZONE, XUYI CITY, ,",NA,NA,6/30/06,"no 7-6 of industry zone, xuyi city, ,",bao long apparel co. limited,"xuyi baolong apparel co., limited",NA,NA,NA,"c(""7"", ""6"")",NA,NA,NA,NA,NA,bao long apparel  ,bao long   ,,,,,
BAOART,2009,"BAODING JINSA ARTS&CRAFTS CO., LTD","BAODING JINSA ARTS&CRAFTS CO., LTD",NA,"Shao Qilidian Village, Fuchang Town, Baoding City, Hebei Province, ,",NA,NA,10/22/08,"shao qilidian village, fuchang town, baoding city, hebei province, ,","baoding jinsa arts&crafts co., ltd","baoding jinsa arts&crafts co., ltd",hebei,baoding,NA,NA,NA,NA,fuchang ,shao qilidian ,NA,baoding jinsa artscrafts  , jinsa   ,,,,,
BAOIND,2009,"SHENZHEN BAOSANHE CERAMICS INDUSTRIAL CO., LTD","SHENZHEN BAOSANHE CERAMICS INDUSTRIAL CO., LTD",-,"KUKENG INDUSTRIAL AREA, GUANLAN ROAD, BAO AN DISTRICT, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,6/14/06,"kukeng industrial area, guanlan road, bao an district, shenzhen city, guangdong province,","shenzhen baosanhe ceramics industrial co., ltd","shenzhen baosanhe ceramics industrial co., ltd",guangdong,shenzhen,bao an,NA,guanlan ,kukeng ,NA,NA,guanlan ,shenzhen baosanhe ceramics   , baosanhe    ,,,,,
