s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,indzone,township,basiclvl,streetnames,name1,name2,matched_names,matched_addr,matched_countycode,Match Accuracy,Notes
MEIGAR,2009,SHENZHEN MEITONG GARMENT COMPANY LIMITED,SHENZHEN MEITONG GARMENT COMPANY LIMITED,NA,"JI TONG INDUSTRIAL ZONE, BANTIAN VILLAGE, BUJI TOWN, LONGGANG DISTRICT,","Women's blazer, suit.",421,2008-10-04,"ji tong industrial zone, bantian village, buji town, longgang district,",shenzhen meitong garment company limited,shenzhen meitong garment company limited,guangdong,shenzhen,longgang,NA,jitong,buji,bantian,NA,shenzhen meitong garment,meitong,深圳美通服饰有限公司,坂田吉通工业区499号,4.4e+11,T,
MINPRO,2009,MING XING HARDWARE PRODUCTS FACTORY,MING XING HARDWARE PRODUCTS FACTORY,-,"XINGHUANG DEVELOPMING ZONE, SIQIAN TOWN, XINHUI AREA, JIANGMENG CITY, GUANGDONG PROVINCE,",NA,NA,9/18/08,"xinghuang developming zone, siqian town, xinhui area, jiangmeng city, guangdong province,",ming xing hardware products factory,ming xing hardware products factory,guangdong,jiangmen,xinhui,NA,NA,siqian,NA,NA,ming xing hardware,mingxing,江门市新会区司前明兴五金制品厂,兴篁,4.41e+11,T,
NAGUME,2009,"NANHAI GUANGYI METAL MANUFACTURING CO., LTD.","NANHAI GUANGYI METAL MANUFACTURING CO., LTD.",-,"Ma She Gui He Road, Li Shui Town, Nan Hai District, Foshan City, Guangdong Province, ,",NA,NA,9/29/06,"ma she gui he road, li shui town, nan hai district, foshan city, guangdong province, ,","nanhai guangyi metal manufacturing co., ltd.","nanhai guangyi metal manufacturing co., ltd.",guangdong,foshan,nanhai,NA,NA,li shui,NA,masheguihe,nanhai guangyi metal,guangyi,佛山市南海广亿五金制品有限公司,麻奢桂和路段,4.41e+11,T,
NAHOME,2009,"NANHAI HONGDA METAL PRODUCT CO., LTD.","NANHAI HONGDA METAL PRODUCT CO., LTD.",-,"INDUSTRIAL ROAD, SONGXIA INDUSTRIAL PARK, SONGGANG, NANHAI, ,",NA,NA,2/21/06,"industrial road, songxia industrial park, songgang, nanhai, ,","nanhai hongda metal product co., ltd.","nanhai hongda metal product co., ltd.",guangdong,foshan,nanhai,NA,songxia,NA,NA,industrial,nanhai hongda metal,hongda,佛山市南海宏达金属制品有限公司,松夏松岗工业大道,4.41e+11,T,
NANRES,2009,"NANHAI CHINA RESOURCES YINGTU ARTS AND CRAFTS CO., LTD.","NANHAI CHINA RESOURCES YINGTU ARTS AND CRAFTS CO., LTD.",-,"DENGGANG, LISHUI, NANHAI, , ,",NA,NA,5/26/09,"denggang, lishui, nanhai, , ,","nanhai china resources yingtu arts and crafts co., ltd.","nanhai china resources yingtu arts and crafts co., ltd.",guangdong,foshan,nanhai,NA,NA,NA,NA,NA,nanhai  resources yingtu arts and crafts,yingtu,佛山市南海华润鹰图工艺品有限公司,岗联工业区,4.41e+11,T,
NANWEI,2009,NANHAI WEI RAN TOYS CO. LTD.,NANHAI WEI RAN TOYS CO. LTD.,-,"JIEBIAN INDUSTRIAL DISTRICT, LUOCUN TOWN, ,",NA,NA,1/19/04,"jiebian industrial district, luocun town, ,",nanhai wei ran toys co. ltd.,nanhai wei ran toys co. ltd.,guangdong,foshan,nanhai,NA,jiebian,luocun,NA,NA,nanhai wei ran toys,weiran,佛山市南海伟然玩具有限公司,街边工业区,4.41e+11,T,
PADCHI,2009,PADMAC (CHINA) GARMENT MANUFACTURING LIMITED,PADMAC (CHINA) GARMENT MANUFACTURING LIMITED,中山澳碧制衣有限公司,"NO.6 OF FUZE ROAD,GAOPING INDUSTIAL AREA, SANJIAO TOWN,ZHONGSHANG CITY, GUANGDONG PROVINCE,CHINA.,",NA,NA,2001-10-08,"no.6 of fuze road,gaoping industial area, sanjiao town,zhongshang city, guangdong province,china.,",padmac (china) garment manufacturing limited,padmac (china) garment manufacturing limited,guangdong,zhongshan,NA,6,NA,sanjiao,NA,fuze,padmac  garment,padmac,中山澳碧制衣有限公司,高平工业区福泽路6号,4.42e+11,T,http://54114.cn/hangye68/a1d3744b31.html
PANGJM,2009,PANYU GJM GARMENT MANUFACTURE FACTORY,GUANGZHOU GJM GARMENT MANUFACTURE FACTORY,NA,"FEDERAL INDUSTRIAL CITY, NO. 363, YU SHAN XI ROAD, SHI QIAO, PANYU GUANGZHOU,GUANGDONG,",NA,NA,2004-07-09,"federal industrial city, no. 363, yu shan xi road, shi qiao, panyu guangzhou,guangdong,",panyu gjm garment manufacture factory,guangzhou gjm garment manufacture factory,guangdong,guangzhou,panyu,363,federal,NA,NA,yushanxi,panyu gjm garment manufacture,gjm,广州市捷进制衣厂有限公司,禺山西路363号联邦工业城内,4.40E+11,T,https://jobs.51job.com/yx/co117754.html
PENCER,2009,PENGCHENG CERAMICS FACTORY,PENGCHENG CERAMICS FACTORY,-,"TAOYUAN TOWN, DABU COUNTY, MEIZHOU CITY, GUANGDONG, ,",NA,NA,7/25/09,"taoyuan town, dabu county, meizhou city, guangdong, ,",pengcheng ceramics factory,pengcheng ceramics factory,guangdong,meizhou,NA,NA,NA,taoyuan,NA,NA,pengcheng ceramics,pengcheng,大埔县桃源镇鹏程陶瓷工艺厂,桃星,4.41e+11,T,
PRAMET,2009,PRAIRIE INTERNATIONL METAL & PLASTIC COMPANY LIMITED,"DONGGUAN PRAIRIE PLASTIC HARDWARE CO.,LTD (CHINA)",-,"210, XINJU RD, SHANGJIAO, CHANGAN TOWN, DONGGUAN CITY, GUANGDONG, CHINA, ,",NA,NA,10/28/09,"210, xinju rd, shangjiao, changan town, dongguan city, guangdong, china, ,",prairie internationl metal & plastic company limited,"dongguan prairie plastic hardware co.,ltd (china)",guangdong,dongguan,dongguan,210,NA,changan,NA,xinju,prairie internationl metal  plastic,prairieinternationl,东莞百瑞立塑胶五金有限公司,上角社区新居路210号,4.42e+11,T,
PTPCH1,2009,SHENZHEN YUANSHENG LIGHT INDUSTRIAL PRODUCTS CO. LTD. (CHINA - 1),SHENZHEN YUANSHENG LIGHT INDUSTRIAL PRODUCTS CO. LTD. (CHINA - 1),-,"NO 1 OF CHANGSHENG ROAD, CHANGZHEN CUN, GONG MING COUNTY, BAOAN DIST.,",NA,NA,2004-09-03,"no 1 of changsheng road, changzhen cun, gong ming county, baoan dist.,",shenzhen yuansheng light industrial products co. ltd. (china - 1),shenzhen yuansheng light industrial products co. ltd. (china - 1),guangdong,shenzhen,baoan,1,NA,NA,NA,changsheng,shenzhen yuansheng light,yuansheng,深圳元昇轻工实业有限公司,长圳社区长升路1号,4.40E+11,T,
QIASTA,2009,QIANXING STAINLESS STEEL PRODUCTS COMPANY LIMITED,QIANXING STAINLESS STEEL PRODUCTS COMPANY LIMITED,-,"NO. 22 - 1, HE XI ROAD, SIQIAN TOWN, XINHUI DISTRICT,",NA,NA,4/13/04,"no. 22 - 1, he xi road, siqian town, xinhui district,",qianxing stainless steel products company limited,qianxing stainless steel products company limited,guangdong,jiangmen,xinhui,"c(""22"", ""1"")",NA,siqian,NA,hexi,qianxing stainless steel,qianxing,江门市新会区司前乾兴不锈钢制品有限公司,司前镇新河西路22-1,4.41e+11,T,
RONLIN,2009,RONG LIN WAH INDUSTRIAL (SHENZHEN) CO LTD,RONG LIN WAH INDUSTRIAL (SHENZHEN) CO LTD,-,"NO. 90 FENGQI ROAD, FUCHENG AO VILLAGE, PINGHU TOWN,",NA,NA,5/21/08,"no. 90 fengqi road, fucheng ao village, pinghu town,",rong lin wah industrial (shenzhen) co ltd,rong lin wah industrial (shenzhen) co ltd,guangdong,shenzhen,NA,90,NA,pinghu,fuchengao,fengqi,rong lin wah,ronglinwah,隆年华实业(深圳)有限公司,凤岐路90号,4.4e+11,T,
SANCS1,2009,"FOSHAN CITY SANSHUI ISLAND GLOVE CO., LTD. (CHINA  - 1)","FOSHAN CITY SANSHUI ISLAND GLOVE CO., LTD. (CHINA  - 1)",NA,"NO. 5 SHUICHANG RD., LUBAO TOWN, SANSHUI DIST,GUANGDONG, ,",NA,NA,2004-05-02,"no. 5 shuichang rd., lubao town, sanshui dist,guangdong, ,","foshan city sanshui island glove co., ltd. (china  - 1)","foshan city sanshui island glove co., ltd. (china  - 1)",guangdong,foshan,sanshui,5,NA,lubao,NA,shuichang,foshan  sanshui island glove,sanshuiisland,佛山市三水香岛手套有限公司,芦苞水厂路5号,4.41e+11,T,
SANHUA,2009,SAN HUA CERAMICS INDUSTRIAL CO. LIMITED,"CHAOZHOU SANHUA CERAMICS INDUSTRIAL CO., LTD.",-,"3 ZHENCHAO TWO ROAD E., RAILWAY STATION, FENGXI DISTRICT, ,",NA,NA,5/20/05,"3 zhenchao two road e., railway station, fengxi district, ,",san hua ceramics industrial co. limited,"chaozhou sanhua ceramics industrial co., ltd.",guangdong,chaozhou,NA,3,NA,NA,NA,zhenchaotwo,san hua ceramics,sanhua,潮州市三华陶瓷实业有限公司,长美桥头,4.45e+11,T,Cautious
SHAFLO,2009,"SHANTOU YIDA ARTIFICIAL FLOWER CO., LTD.","SHANTOU YIDA ARTIFICIAL FLOWER CO., LTD.",-,"BLOCK 16-08-2, JINPING INDUSTRIAL REGION, CHAOSHAN ROAD, ,",NA,NA,9/22/06,"block 16-08-2, jinping industrial region, chaoshan road, ,","shantou yida artificial flower co., ltd.","shantou yida artificial flower co., ltd.",guangdong,shantou,jinping,"c(""16"", ""08"", ""2"")",jinping,NA,NA,chaoshan,shantou yida artificial flower,yida,汕头市艺达人造花有限公司,金园工艺区16-03 16-08-02,4.41e+11,T,
SHEJYH,2009,"SHENZHEN JYH CHIUN ELECTRONIC INDUSTRIAL CO., LTD.","SHENZHEN JYH CHIUN ELECTRONIC INDUSTRIAL CO., LTD.",-,"NO. 150 BEIHUAN ROAD, SHAJING, BAO AN DISTRICT, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,7/14/03,"no. 150 beihuan road, shajing, bao an district, shenzhen city, guangdong province,","shenzhen jyh chiun electronic industrial co., ltd.","shenzhen jyh chiun electronic industrial co., ltd.",guangdong,shenzhen,baoan,150,NA,NA,NA,beihuan,shenzhen jyh chiun electronic,jyhchiun,深圳峻奇电子实业有限公司,岗头工业区北环路150号,4.4e+11,T,
SHELIK,2009,"SHENZHEN LIKAIDA GARMENT CO., LTD","SHENZHEN LIKAIDA GARMENT CO., LTD",NA,"THE 5TH FLOOR OF QIANJIN BUILDING, NO. 4 OF HOUHAI ROAD, SHEKOU,NANSHAN DISTRICT,",NA,NA,6/28/04,"the 5th floor of qianjin building, no. 4 of houhai road, shekou,nanshan district,","shenzhen likaida garment co., ltd","shenzhen likaida garment co., ltd",guangdong,shenzhen,nanshan,4,NA,NA,NA,houhai,shenzhen likaida garment,likaida,深圳利凯达服装有限公司,蛇口后海路4号前进大厦5楼,4.4e+11,T,
SHEPRO,2009,SHENZHEN NANLING TOYS PRODUCTS CO. LTD.,SHENZHEN NANLING TOYS PRODUCTS CO. LTD.,-,"No. 132, Busha Road, Nanling Village, Buji Town, Longgang District, ,",NA,NA,3/29/04,"no. 132, busha road, nanling village, buji town, longgang district, ,",shenzhen nanling toys products co. ltd.,shenzhen nanling toys products co. ltd.,guangdong,shenzhen,longgang,132,NA,buji,nanling,busha,shenzhen nanling toys,nanling,深圳南岭玩具制品有限公司,南岭村布沙路132号,4.4e+11,T,
